pathway_name,pathway_source,num_overlapping_genes,overlapping_genes,num_all_pathway_genes,P_genes,Q_genes,num_overlapping_metabolites,overlapping_metabolites,num_all_pathway_metabolites,P_metabolites,Q_metabolites,P_joint,Q_joint
Hemostasis,Reactome,145,A1BG;KIF21B;HGF;ENDOD1;ABCC4;ABL1;PDE9A;PDGFB;PRKAR1B;SPN;CENPE;KIF26A;DOCK11;INPP5D;ITGA5;PECAM1;GNG2;GAS6;ABHD6;GATA2;CLEC1B;GATA6;ITGA6;MGLL;SIRPA;ISLR;ACTN2;TNFRSF10B;PDE10A;ITGAL;ITGAM;F5;PTGIR;LCK;F8;F9;F11;F13A1;ITIH3;ITIH4;F13B;ITGB2;AK3;CEACAM1;ITPR3;CD84;QSOX1;EHD2;RBSN;FGA;SDC3;RAPGEF3;LHFPL2;P2RX6;KCNMB1;FGB;AHSG;HRG;GNAI1;MAFF;ALB;TAGLN2;PLCG2;FGG;FGR;ALDOA;GNG11;GNGT2;KLKB1;DAGLA;NOS3;SDC2;VAV1;RAB27B;KNG1;JAM3;JAM2;APBB1IP;FERMT3;VEGFC;DAGLB;SELPLG;FLNA;SELENOP;TGFB3;KIF23;VWF;ANGPT1;FN1;ITGA3;PLG;KIF21A;TTN;RAPGEF4;ESAM;KIF1B;ORM2;APOB;DOK2;CAV1;BCAR1;APOH;APP;SLC7A6;TEK;SH2B2;KIF20B;ZFPM2;TGFB2;MMRN1;SLC7A8;GATA4;ATP2B4;THBD;THBS1;CD2;SDC1;ARRB1;ARRB2;LAT;P2RX7;SLC16A1;GUCY1B1;GRB14;JCHAIN;GNB5;PAFAH2;TSPAN7;CD63;PRKAR2A;TMSB4X;SERPINC1;PRKCH;IGLC2;CLEC3B;PRKCQ;GUCY1A1;TOR4A;TIMP3;ATP2A1;EPCAM;ATP2A3;PCDH7;SERPIND1;CTSW,677 (677),2.61e-09,4.08e-07,0,,42 (67),1,1,5.42e-08,6.76e-06
Platelet activation_ signaling and aggregation,Reactome,71,VEGFC;A1BG;TGFB2;TGFB3;QSOX1;HGF;ISLR;FLNA;ORM2;SELENOP;ABCC4;MMRN1;F5;TOR4A;ARRB2;VWF;FN1;LAT;PDGFB;TIMP3;VAV1;BCAR1;RAPGEF3;RAB27B;PCDH7;ITIH3;PECAM1;GNB5;GNG2;GAS6;ABHD6;PLG;CLEC1B;FGA;FGB;AHSG;CD63;LHFPL2;ENDOD1;TMSB4X;MGLL;GNAI1;CLEC3B;PRKCQ;ALB;TAGLN2;ACTN2;FGG;PRKCH;LCK;APOH;APP;THBS1;ALDOA;HRG;GNG11;TTN;DAGLA;F8;RAPGEF4;CTSW;F13A1;KNG1;ITIH4;APBB1IP;GNGT2;DAGLB;ARRB1;FERMT3;PLCG2;ITPR3,263 (263),2.76e-09,4.16e-07,0,,22 (28),1,1,5.71e-08,6.85e-06
Neovascularisation processes,Wikipathways,16,EPHB2;EPHB4;PDGFB;KIT;DLL4;CXCR4;TGFB2;KDR;TGFB3;FLT4;ACVRL1;SMAD1;SMAD3;ANGPT1;SMAD9;MMP9,29 (29),1.23e-07,7.69e-06,0,,0 (0),1,1,1.23e-07,7.69e-06
Molecules associated with elastic fibres,Reactome,16,FBLN1;TGFB2;TGFB3;ITGA8;BMP10;LTBP4;BMP2;ITGB6;MFAP4;ITGB8;LTBP1;LTBP2;LTBP3;FBLN2;VTN;FBLN5,30 (30),2.31e-07,1.35e-05,0,,0 (1),1,1,2.31e-07,1.35e-05
Mitochondrial LC-Fatty Acid Beta-Oxidation,Wikipathways,13,CPT2;ACADL;ACADM;ACSL1;ACADVL;SCP2;EHHADH;PECR;SLC25A20;HADHA;HADH;ACSF2;CPT1A,17 (17),6.11e-09,8.41e-07,0,,2 (6),1,1,1.22e-07,1.4e-05
VEGFA-VEGFR2 Signaling Pathway,Wikipathways,96,EPHB2;HTRA1;ABL1;ERG;RHOJ;MYO6;GATA2;SRF;HLX;ACTG1;NCF2;FJX1;BCL2;NR4A1;ADAM10;TRIP4;PTGS2;MEF2C;INPP4B;IQGAP1;NRP2;DECR1;NRARP;GJA1;BMP2;ADAMTS9;ARMCX1;KANK1;MYL2;PTPN14;ADRB2;MAPK12;SHC2;NFATC2;BMP10;APOLD1;CLIC1;ACKR3;NFKBIA;GLUD1;FGA;FGB;CCL2;KDR;FGD5;ALB;MMP2;FGG;FHL2;TAL1;HSPA1A;NOS3;HSPB1;CHAC1;NOTCH4;DOK1;PRKD2;CACNA2D1;FN1;ADAMTS1;DLL4;HBEGF;DUSP5;RCN1;GRB10;NOX4;ALDOA;SH2D2A;CAV1;BCAR1;LDHA;SHROOM2;HDAC7;GRSF1;PRDX6;FMNL3;SLC7A1;LIMK1;ARRB2;LMAN1;IGFBP7;EGR1;EGR3;FHOD1;CSRP1;PRKAA2;PAK1;SMARCA2;MMRN2;TMOD1;TMSB4X;CGNL1;NEXN;CDH5;TNXB;SH3BGRL3,433 (433),2.67e-07,1.52e-05,0,,0 (0),1,1,2.67e-07,1.52e-05
TYROBP causal network in microglia,Wikipathways,24,CD84;DPYD;ABCC4;KCNE3;ZFP36L2;SPP1;PYCARD;CAPG;CD37;HLX;LHFPL2;PPP1R18;C3;ELF4;BIN2;NRROS;RUNX3;NCF2;LYL1;ITGAM;ITGB2;SLC1A5;APBB1IP;MAF,60 (60),2.72e-07,1.52e-05,0,,0 (0),1,1,2.72e-07,1.52e-05
Complement and Coagulation Cascades,Wikipathways,26,CFH;F8;THBD;CD55;VWF;LMAN1;FGB;C3;C3AR1;CPB2;CD46;SERPINC1;C5AR1;C6;C7;PLG;C9;CFI;CR2;F5;KLKB1;SERPIND1;F9;KNG1;F13B;MASP2,59 (59),7.77e-09,1.04e-06,0,,1 (2),1,1,1.53e-07,1.7e-05
Complement system,Wikipathways,34,CFH;SELPLG;CD93;THBS1;VTN;ARRB2;C7;WAS;CD19;SPP1;CD55;ICAM2;FGA;FGB;APCS;LAMA5;LAMB1;LAMC1;C3;C3AR1;CD46;ALB;C5AR1;C6;FGG;C8A;PLG;C9;CFI;CR2;KLKB1;F13A1;CRP;MASP2,93 (93),1.43e-08,1.84e-06,0,,2 (5),1,1,2.73e-07,2.87e-05
Integrin,INOH,41,COL3A1;COL4A1;COL4A2;COL4A4;COL5A1;COL5A2;HSPG2;COL6A2;COL8A1;ITGB6;COL15A1;COL16A1;FN1;BCAR1;TNC;VCAN;SHC2;COL6A1;ITGA8;ITGA6;SDC3;LAMB3;LAMC2;SDC2;ELN;CAV1;ITGA3;LCK;ITGA5;ITGAL;ITGAM;ITGB2;ITGB4;TNXB;SDC1;ITGB7;ITGB8;VAV1;ARHGEF6;COL1A1;COL1A2,124 (124),1.45e-08,1.84e-06,0,,2 (2),1,1,2.77e-07,2.87e-05
Alpha6 beta4 integrin-ligand interactions,PID,9,LAMC1;LAMA2;ITGA6;LAMB1;LAMB2;LAMB3;ITGB4;LAMC2;LAMA5,11 (11),5.85e-07,2.88e-05,0,,0 (0),1,1,5.85e-07,2.88e-05
Fatty acid degradation - Homo sapiens (human),KEGG,21,ALDH3A2;ACADL;ACADM;ACSL1;ACADVL;ACAT1;EHHADH;GCDH;CPT1C;HADH;ACOX1;CPT2;ALDH7A1;HADHA;ECI2;HADHB;ACADSB;ADH4;ACOX3;CPT1A;ALDH9A1,43 (43),2.3e-08,2.35e-06,0,,40 (50),1,1,4.27e-07,3.2e-05
Bile acid biosynthesis,EHMN,23,ADHFE1;SLC10A1;SLC10A2;EHHADH;CYP7A1;CYP8B1;SLC38A4;ACOX1;BAAT;SRD5A1;AKR1D1;ACOX2;ACOX3;SCP2;ABCB11;ACOT2;ACOT4;ACOT1;ALDH9A1;ALDH3A2;ALDH7A1;SLC27A5;SLC27A2,53 (53),8.04e-08,5.28e-06,1,HMDB0000036,47 (55),0.318,1,4.73e-07,3.2e-05
PPAR signaling pathway - Homo sapiens (human),KEGG,29,ACSL1;GK;ACADL;ACADM;APOA5;EHHADH;CYP7A1;CYP8B1;FABP2;CPT1C;ACOX1;SLC27A5;SCP2;FADS2;HMGCS2;ME3;PPARA;PPARD;CPT1A;CPT2;ME1;PCK1;ACOX2;ACOX3;FABP4;SLC27A2;FABP3;PLIN2;FABP7,74 (76),2.74e-08,2.35e-06,0,,5 (5),1,1,5.04e-07,3.2e-05
Peroxisomal lipid metabolism,Reactome,17,ALDH3A2;CRAT;SCP2;CROT;EHHADH;NUDT7;DECR2;PHYH;PECR;ACOX1;ACOX2;ACOX3;ECI2;SLC27A2;ACOT4;ACBD5;HSD17B4,30 (30),2.87e-08,2.35e-06,0,,38 (61),1,1,5.28e-07,3.2e-05
3-Methylglutaconic Aciduria Type I,SMPDB,17,IVD;ACADM;HIBCH;ACADSB;ACAT1;PCCA;HIBADH;ALDH6A1;BCAT1;ABAT;PCCB;BCKDHB;HSD17B10;HMGCS2;MCCC2;OXCT1;DBT,30 (30),2.87e-08,2.35e-06,0,,54 (58),1,1,5.28e-07,3.2e-05
Valine_ Leucine and Isoleucine Degradation,SMPDB,17,IVD;ACADM;HIBCH;ACADSB;ACAT1;PCCA;HIBADH;ALDH6A1;BCAT1;ABAT;PCCB;BCKDHB;HSD17B10;HMGCS2;MCCC2;OXCT1;DBT,30 (30),2.87e-08,2.35e-06,0,,54 (58),1,1,5.28e-07,3.2e-05
2-Methyl-3-Hydroxybutryl CoA Dehydrogenase Deficiency,SMPDB,17,IVD;ACADM;HIBCH;ACADSB;ACAT1;PCCA;HIBADH;ALDH6A1;BCAT1;ABAT;PCCB;BCKDHB;HSD17B10;HMGCS2;MCCC2;OXCT1;DBT,30 (30),2.87e-08,2.35e-06,0,,54 (58),1,1,5.28e-07,3.2e-05
Isovaleric Aciduria,SMPDB,17,IVD;ACADM;HIBCH;ACADSB;ACAT1;PCCA;HIBADH;ALDH6A1;BCAT1;ABAT;PCCB;BCKDHB;HSD17B10;HMGCS2;MCCC2;OXCT1;DBT,30 (30),2.87e-08,2.35e-06,0,,54 (58),1,1,5.28e-07,3.2e-05
3-Methylcrotonyl Coa Carboxylase Deficiency Type I,SMPDB,17,IVD;ACADM;HIBCH;ACADSB;ACAT1;PCCA;HIBADH;ALDH6A1;BCAT1;ABAT;PCCB;BCKDHB;HSD17B10;HMGCS2;MCCC2;OXCT1;DBT,30 (30),2.87e-08,2.35e-06,0,,54 (58),1,1,5.28e-07,3.2e-05
Propionic Acidemia,SMPDB,17,IVD;ACADM;HIBCH;ACADSB;ACAT1;PCCA;HIBADH;ALDH6A1;BCAT1;ABAT;PCCB;BCKDHB;HSD17B10;HMGCS2;MCCC2;OXCT1;DBT,30 (30),2.87e-08,2.35e-06,0,,54 (58),1,1,5.28e-07,3.2e-05
Maple Syrup Urine Disease,SMPDB,17,IVD;ACADM;HIBCH;ACADSB;ACAT1;PCCA;HIBADH;ALDH6A1;BCAT1;ABAT;PCCB;BCKDHB;HSD17B10;HMGCS2;MCCC2;OXCT1;DBT,30 (30),2.87e-08,2.35e-06,0,,54 (58),1,1,5.28e-07,3.2e-05
3-Hydroxy-3-Methylglutaryl-CoA Lyase Deficiency,SMPDB,17,IVD;ACADM;HIBCH;ACADSB;ACAT1;PCCA;HIBADH;ALDH6A1;BCAT1;ABAT;PCCB;BCKDHB;HSD17B10;HMGCS2;MCCC2;OXCT1;DBT,30 (30),2.87e-08,2.35e-06,0,,54 (58),1,1,5.28e-07,3.2e-05
Isobutyryl-coa dehydrogenase deficiency,SMPDB,17,IVD;ACADM;HIBCH;ACADSB;ACAT1;PCCA;HIBADH;ALDH6A1;BCAT1;ABAT;PCCB;BCKDHB;HSD17B10;HMGCS2;MCCC2;OXCT1;DBT,30 (30),2.87e-08,2.35e-06,0,,54 (58),1,1,5.28e-07,3.2e-05
3-hydroxyisobutyric aciduria,SMPDB,17,IVD;ACADM;HIBCH;ACADSB;ACAT1;PCCA;HIBADH;ALDH6A1;BCAT1;ABAT;PCCB;BCKDHB;HSD17B10;HMGCS2;MCCC2;OXCT1;DBT,30 (30),2.87e-08,2.35e-06,0,,54 (58),1,1,5.28e-07,3.2e-05
3-hydroxyisobutyric acid dehydrogenase deficiency,SMPDB,17,IVD;ACADM;HIBCH;ACADSB;ACAT1;PCCA;HIBADH;ALDH6A1;BCAT1;ABAT;PCCB;BCKDHB;HSD17B10;HMGCS2;MCCC2;OXCT1;DBT,30 (30),2.87e-08,2.35e-06,0,,54 (58),1,1,5.28e-07,3.2e-05
Isovaleric acidemia,SMPDB,17,IVD;ACADM;HIBCH;ACADSB;ACAT1;PCCA;HIBADH;ALDH6A1;BCAT1;ABAT;PCCB;BCKDHB;HSD17B10;HMGCS2;MCCC2;OXCT1;DBT,30 (30),2.87e-08,2.35e-06,0,,54 (58),1,1,5.28e-07,3.2e-05
Methylmalonate Semialdehyde Dehydrogenase Deficiency,SMPDB,17,IVD;ACADM;HIBCH;ACADSB;ACAT1;PCCA;HIBADH;ALDH6A1;BCAT1;ABAT;PCCB;BCKDHB;HSD17B10;HMGCS2;MCCC2;OXCT1;DBT,30 (30),2.87e-08,2.35e-06,0,,54 (58),1,1,5.28e-07,3.2e-05
Methylmalonic Aciduria,SMPDB,17,IVD;ACADM;HIBCH;ACADSB;ACAT1;PCCA;HIBADH;ALDH6A1;BCAT1;ABAT;PCCB;BCKDHB;HSD17B10;HMGCS2;MCCC2;OXCT1;DBT,30 (30),2.87e-08,2.35e-06,0,,54 (58),1,1,5.28e-07,3.2e-05
3-Methylglutaconic Aciduria Type IV,SMPDB,17,IVD;ACADM;HIBCH;ACADSB;ACAT1;PCCA;HIBADH;ALDH6A1;BCAT1;ABAT;PCCB;BCKDHB;HSD17B10;HMGCS2;MCCC2;OXCT1;DBT,30 (30),2.87e-08,2.35e-06,0,,54 (58),1,1,5.28e-07,3.2e-05
3-Methylglutaconic Aciduria Type III,SMPDB,17,IVD;ACADM;HIBCH;ACADSB;ACAT1;PCCA;HIBADH;ALDH6A1;BCAT1;ABAT;PCCB;BCKDHB;HSD17B10;HMGCS2;MCCC2;OXCT1;DBT,30 (30),2.87e-08,2.35e-06,0,,54 (58),1,1,5.28e-07,3.2e-05
Beta-Ketothiolase Deficiency,SMPDB,17,IVD;ACADM;HIBCH;ACADSB;ACAT1;PCCA;HIBADH;ALDH6A1;BCAT1;ABAT;PCCB;BCKDHB;HSD17B10;HMGCS2;MCCC2;OXCT1;DBT,30 (30),2.87e-08,2.35e-06,0,,54 (58),1,1,5.28e-07,3.2e-05
Myometrial relaxation and contraction pathways,Wikipathways,47,GJA1;ARRB1;ADCY4;NOS3;PDE4B;MYL2;PDE4D;ARRB2;RAMP2;CAMK2A;IGFBP1;CALD1;IGFBP6;MYL4;GUCY1A1;RGS10;ACTG1;RGS19;GPR182;GNB5;ACTA1;ACTA2;ATF5;PKIA;ETS2;PRKAR1B;PRKAR2A;PRKCH;ATF3;MAFF;PLCD1;PLCG2;IL1B;GNG2;GNG11;ATP2A3;ADCY2;RGS3;CNN1;CNN2;ADCY9;RYR1;MYLK2;PRKCQ;SFN;ACKR3;ITPR3,155 (155),2.91e-08,2.35e-06,0,,4 (4),1,1,5.34e-07,3.2e-05
Syndecan-1-mediated signaling events,PID,19,COL3A1;COL4A1;COL4A4;FGF1;FGF2;COL5A1;HGF;COL6A1;COL6A2;COL6A3;SDC1;LAMA5;FGFR1;COL1A2;HPSE;COL5A2;MMP7;COL1A1;MMP9,43 (43),7.69e-07,3.64e-05,0,,0 (1),1,1,7.69e-07,3.64e-05
Very-long-chain acyl coa dehydrogenase deficiency (VLCAD),SMPDB,11,CPT2;ACADL;ACADM;ACSL1;ACADVL;ACAT1;GCDH;HADHA;HADHB;ACADSB;CPT1A,14 (14),6.03e-08,4.09e-06,0,,43 (43),1,1,1.06e-06,5.34e-05
Long chain acyl-CoA dehydrogenase deficiency (LCAD),SMPDB,11,CPT2;ACADL;ACADM;ACSL1;ACADVL;ACAT1;GCDH;HADHA;HADHB;ACADSB;CPT1A,14 (14),6.03e-08,4.09e-06,0,,43 (43),1,1,1.06e-06,5.34e-05
Trifunctional protein deficiency,SMPDB,11,CPT2;ACADL;ACADM;ACSL1;ACADVL;ACAT1;GCDH;HADHA;HADHB;ACADSB;CPT1A,14 (14),6.03e-08,4.09e-06,0,,43 (43),1,1,1.06e-06,5.34e-05
Carnitine palmitoyl transferase deficiency (II),SMPDB,11,CPT2;ACADL;ACADM;ACSL1;ACADVL;ACAT1;GCDH;HADHA;HADHB;ACADSB;CPT1A,14 (14),6.03e-08,4.09e-06,0,,43 (43),1,1,1.06e-06,5.34e-05
Medium chain acyl-coa dehydrogenase deficiency (MCAD),SMPDB,11,CPT2;ACADL;ACADM;ACSL1;ACADVL;ACAT1;GCDH;HADHA;HADHB;ACADSB;CPT1A,14 (14),6.03e-08,4.09e-06,0,,43 (43),1,1,1.06e-06,5.34e-05
Short Chain Acyl CoA Dehydrogenase Deficiency (SCAD Deficiency),SMPDB,11,CPT2;ACADL;ACADM;ACSL1;ACADVL;ACAT1;GCDH;HADHA;HADHB;ACADSB;CPT1A,14 (14),6.03e-08,4.09e-06,0,,43 (43),1,1,1.06e-06,5.34e-05
Fatty acid Metabolism,SMPDB,11,CPT2;ACADL;ACADM;ACSL1;ACADVL;ACAT1;GCDH;HADHA;HADHB;ACADSB;CPT1A,14 (14),6.03e-08,4.09e-06,0,,43 (43),1,1,1.06e-06,5.34e-05
Glutaric Aciduria Type I,SMPDB,11,CPT2;ACADL;ACADM;ACSL1;ACADVL;ACAT1;GCDH;HADHA;HADHB;ACADSB;CPT1A,14 (14),6.03e-08,4.09e-06,0,,43 (43),1,1,1.06e-06,5.34e-05
Ethylmalonic Encephalopathy,SMPDB,11,CPT2;ACADL;ACADM;ACSL1;ACADVL;ACAT1;GCDH;HADHA;HADHB;ACADSB;CPT1A,14 (14),6.03e-08,4.09e-06,0,,43 (43),1,1,1.06e-06,5.34e-05
Carnitine palmitoyl transferase deficiency (I),SMPDB,11,CPT2;ACADL;ACADM;ACSL1;ACADVL;ACAT1;GCDH;HADHA;HADHB;ACADSB;CPT1A,14 (14),6.03e-08,4.09e-06,0,,43 (43),1,1,1.06e-06,5.34e-05
TCR,NetPath,60,CD84;DOK1;PRKD2;ARHGEF2;ARHGDIB;DPYSL2;CD2;CD3D;STK39;CD5;ABL1;CD8A;WAS;LAT;NFATC2;TUBA1A;CASKIN2;ARHGEF7;ANXA2;ARHGAP35;MAP4K1;INPP5D;PECAM1;NFKBIA;GRAP2;BMF;ENAH;AHCY;MAPK11;PAK1;PKM;CARD11;LDHA;PRKCQ;CTLA4;DOK2;SH2D2A;PLCG2;NFAM1;LCK;ACTA1;MAPK7;LY9;PARD3;DEF6;ADA;EGR1;MUC1;SIT1;OGN;HDAC7;BDH1;VASP;VAV1;ARHGEF6;GAB2;LDHB;EPHA3;CHUK;GRAP,243 (244),1.3e-06,5.45e-05,0,,0 (0),1,1,1.3e-06,5.45e-05
Omega-6 fatty acid metabolism,EHMN,16,DECR1;ACSL1;ACOX3;FADS2;EHHADH;DECR2;FADS1;HADH;ACOX1;HSD17B10;ACOX2;HADHA;ECI2;HADHB;SLC27A2;HSD17B4,28 (28),6.31e-08,4.22e-06,0,,20 (23),1,1,1.11e-06,5.48e-05
Glycine Serine metabolism,INOH,19,MAOB;CBS;PIPOX;DMGDH;SHMT1;HSD17B12;GLDC;CDO1;NSDHL;SDS;CTH;GOT1;GOT2;AKR1B10;BHMT;ALAS1;AGXT;AGXT2;AOC3,40 (40),1.88e-07,1.13e-05,1,HMDB0000128,53 (68),0.351,1,1.16e-06,5.65e-05
Biosynthesis of unsaturated fatty acids - Homo sapiens (human),KEGG,15,ELOVL5;SCP2;HACD3;HSD17B12;FADS2;ELOVL2;ACOX1;ACOT2;ACOX3;FADS1;ELOVL7;ACOT4;ACOT1;BAAT;HSD17B4,27 (27),2.72e-07,1.52e-05,1,HMDB0002183,39 (74),0.272,1,1.29e-06,6.19e-05
Hypertrophic cardiomyopathy - Homo sapiens (human),KEGG,32,TPM1;TPM2;TGFB2;TGFB3;CACNA1C;CACNA1D;DES;CACNA1S;CACNA2D1;CACNB1;MYH7;CACNG1;MYL2;MYL3;SGCB;SGCG;ITGA8;ITGA5;PRKAA2;LAMA2;ITGA6;ACTG1;ITGA3;PRKAG2;ACE;ATP2A1;TTN;ITGB4;ITGB6;ITGB7;ITGB8;ATP2A3,90 (90),8.12e-08,5.28e-06,0,,3 (3),1,1,1.41e-06,6.64e-05
Collagen formation,Reactome,32,COL3A1;COL4A1;COL4A2;COL4A4;COL5A1;COL5A2;COL6A1;COL6A2;COL6A3;COL8A1;COL13A1;COL15A1;COL16A1;COL17A1;PXDN;ADAMTS2;P3H3;COL28A1;LOX;LOXL1;ITGA6;LAMB3;COL6A5;LAMC2;MMP7;MMP9;MMP13;SERPINH1;ITGB4;PCOLCE;COL1A1;COL1A2,91 (91),1.09e-07,6.91e-06,0,,13 (16),1,1,1.86e-06,8.66e-05
Vitamin D Receptor Pathway,Wikipathways,48,TPM1;TGFB2;CYP1A1;CDKN2D;CLMN;NRIP1;EPHB4;BMP6;HNF1A;THBD;SFRP1;COL13A1;ADRB2;IGFBP1;SATB1;TIMP2;TIMP3;SPP1;LRRC25;CYP7A1;CST6;KNG1;G0S2;IRF8;LPGAT1;ID4;ORM2;BTLA;PRKCQ;CTLA4;ADAMTS5;CYP2S1;PPARD;CRACR2B;NFATC2;ADGRE5;KLF4;HILPDA;ITGAM;CBS;ALOX5;CLDN2;SLC2A4;CD200;CEACAM1;PRDM1;VDR;DUSP10,184 (184),2.89e-06,0.000102,0,,0 (1),1,1,2.89e-06,0.000102
Cell adhesion molecules - Homo sapiens (human),KEGG,41,SELPLG;MPZ;CLDN4;CD2;ITGB7;CD8A;PTPRF;CD6;SPN;CLDN1;SDC3;CLDN2;VCAN;PECAM1;ICAM2;PVR;CNTNAP1;ITGA8;ITGA6;ESAM;NCAM2;CLDN5;IGSF11;CTLA4;CLDN7;LRRC4C;CD34;PTPRM;ITGAL;ITGAM;LRRC4;ITGB2;CDH5;SDC1;SDC2;ITGB8;VSIR;JAM3;CDH3;CD22;JAM2,148 (149),2.99e-06,0.000103,0,,0 (0),1,1,2.99e-06,0.000103
Di-unsaturated fatty acid beta-oxidation,EHMN,14,ACADL;DECR1;ACSL1;ACOX3;EHHADH;DECR2;HADH;ACOX1;HSD17B10;HADHA;ECI2;HADHB;SLC27A2;HSD17B4,23 (23),1.44e-07,8.75e-06,0,,19 (19),1,1,2.41e-06,0.000109
Laminin interactions,Reactome,14,HSPG2;LAMA2;LAMA4;ITGA6;LAMB1;LAMB2;LAMB3;ITGB4;LAMC2;LAMC3;NID1;LAMA5;LAMC1;ITGA3,23 (23),1.44e-07,8.75e-06,0,,1 (2),1,1,2.41e-06,0.000109
Hippo-Merlin Signaling Dysregulation,Wikipathways,35,ITGB4;ITGB2;PPP1R14A;FLT4;IGF1R;NGFR;PDGFRA;PDGFRB;PAK3;NTRK2;PAK1;ITGA8;PRKAR1B;PRKAR2A;ITGA6;TEK;KDR;FGFR1;ITGA3;PAK6;ITGA5;CDH19;AJUBA;ITGAL;ITGAM;KIT;CDH3;CDH5;ITGB6;ITGB7;ITGB8;CDH11;CDH13;CDH17;PLCB4,120 (120),4.43e-06,0.000146,0,,0 (0),1,1,4.43e-06,0.000146
Nervous system development,Reactome,87,EPHB2;EPHB4;SOX10;RGMB;ERBB2;ABL1;MPZ;ARHGAP35;RPS6KA2;SPTB;SPTBN2;SEMA4D;ACTG1;VLDLR;COL6A5;PLXND1;PAK6;ITGA5;GFRA1;GFRA2;GAB2;NRP2;FARP2;RGMA;UNC5A;GJB1;COL4A2;ARHGEF7;CXCR4;SCN1B;SCN4B;SCN5A;SCN7A;DLG4;CACNA1I;FGFR1;SDC2;VASP;HOXA2;PMP22;COL4A1;DOK1;COL4A4;CACNA1C;CACNA1D;COL6A1;COL6A2;COL6A3;CACNB1;DPYSL2;DPYSL3;ARHGEF28;DRP2;ANK1;ANK2;CNTNAP1;LAMA2;GRB10;LAMB1;LAMC1;SEMA5A;WWTR1;DOK2;ASB15;SHTN1;ABLIM3;CACNA1S;SHANK3;ADGRG6;MSN;NTN4;LIMK1;EFNB2;PLXNC1;SLIT3;ENAH;PLXNA4;PAK1;PAK3;PRKAR2A;PRKCQ;MAPK7;ABLIM2;SCN3B;EPHA3;EPHA4;EPHA7,379 (379),2e-07,1.18e-05,0,,11 (17),1,1,3.28e-06,0.000146
Bile secretion - Homo sapiens (human),KEGG,30,UGT1A1;ABCC4;ADCY4;SLC10A1;SLC10A2;CYP7A1;UGT1A5;SLC22A1;SCARB1;NR1H4;BAAT;KCNN2;ABCB11;SCTR;UGT2A3;NCEH1;ABCG2;ABCC2;ATP1A2;SLC4A4;AQP1;AQP4;ADCY2;AQP9;ABCG5;ABCG8;ADCY9;SLC27A5;SLC5A1;ABCB4,90 (90),1.01e-06,4.67e-05,2,HMDB0000036;HMDB0014487,112 (161),0.227,1,3.73e-06,0.000164
PPAR signaling pathway,Wikipathways,26,ACSL1;ACADL;ACADM;APOA5;EHHADH;CYP7A1;CYP8B1;CPT1C;ACOX1;ACOX3;SCP2;FADS2;HMGCS2;FABP2;PPARA;PPARD;CPT1A;CPT2;ME1;PCK1;ACOX2;SLC27A5;FABP4;SLC27A2;FABP3;FABP7,68 (68),2.54e-07,1.47e-05,0,,1 (7),1,1,4.11e-06,0.000178
Collagen chain trimerization,Reactome,18,COL3A1;COL4A1;COL28A1;COL4A2;COL4A4;COL6A5;COL5A2;COL6A1;COL6A2;COL6A3;COL8A1;COL5A1;COL13A1;COL15A1;COL16A1;COL17A1;COL1A1;COL1A2,44 (44),5.76e-06,0.000178,0,,0 (0),1,1,5.76e-06,0.000178
prion pathway,BioCarta,11,LAMA2;LAMA4;LAMA5;LAMB1;LAMB2;LAMB3;LAMC1;LAMC2;LAMC3;BCL2;GFAP,19 (19),6.54e-06,0.000194,0,,0 (0),1,1,6.54e-06,0.000194
Mono-unsaturated fatty acid beta-oxidation,EHMN,13,ACADL;ACADM;ACADSB;ACOX3;EHHADH;SLC27A2;ACOX1;HSD17B10;HADHA;HADH;HADHB;ACSL1;HSD17B4,21 (21),3.09e-07,1.62e-05,0,,12 (12),1,1,4.94e-06,0.0002
Ardeparin Action Pathway,SMPDB,13,FGA;FGB;F5;KLKB1;F8;F9;F11;F13A1;SERPINC1;FGG;PLG;COL1A1;F13B,21 (21),3.09e-07,1.62e-05,0,,4 (4),1,1,4.94e-06,0.0002
Heparin Action Pathway,SMPDB,13,FGA;FGB;F5;KLKB1;F8;F9;F11;F13A1;SERPINC1;FGG;PLG;COL1A1;F13B,21 (21),3.09e-07,1.62e-05,0,,5 (5),1,1,4.94e-06,0.0002
Fondaparinux Action Pathway,SMPDB,13,FGA;FGB;F5;KLKB1;F8;F9;F11;F13A1;SERPINC1;FGG;PLG;COL1A1;F13B,21 (21),3.09e-07,1.62e-05,0,,4 (5),1,1,4.94e-06,0.0002
Enoxaparin Action Pathway,SMPDB,13,FGA;FGB;F5;KLKB1;F8;F9;F11;F13A1;SERPINC1;FGG;PLG;COL1A1;F13B,21 (21),3.09e-07,1.62e-05,0,,5 (5),1,1,4.94e-06,0.0002
