pathway_name,pathway_source,num_overlapping_genes,overlapping_genes,num_all_pathway_genes,P_genes,Q_genes,num_overlapping_metabolites,overlapping_metabolites,num_all_pathway_metabolites,P_metabolites,Q_metabolites,P_joint,Q_joint
Pyrimidine salvage,Reactome,0,,11 (11),1,1,1,HMDB0000273,23 (23),0.17,1,0.472,0.728
Caffeine Metabolism,SMPDB,0,,7 (7),1,1,1,HMDB0001860,23 (24),0.17,1,0.472,0.728
Synthesis of IP3 and IP4 in the cytosol,Reactome,1,INPP5D,29 (29),0.172,1,0,,11 (14),1,1,0.475,0.728
Downregulation of ERBB2 signaling,Reactome,1,EGFR,29 (29),0.172,1,0,,4 (4),1,1,0.475,0.728
Metabolism of porphyrins,Reactome,1,SLCO2B1,29 (29),0.172,1,0,,34 (43),1,1,0.475,0.728
Regulated Necrosis,Reactome,1,OGT,29 (29),0.172,1,0,,8 (16),1,1,0.475,0.728
Pyruvate metabolism,Reactome,1,ME1,29 (29),0.172,1,0,,24 (25),1,1,0.475,0.728
HIF-1-alpha transcription factor network,PID,2,GCK;ENG,66 (66),0.0681,0.729,0,,0 (0),1,1,0.0681,0.729
Dissolution of Fibrin Clot,Reactome,1,SERPINB6,11 (11),0.069,0.729,0,,0 (1),1,1,0.069,0.729
alpha-Linolenic acid metabolism - Homo sapiens (human),KEGG,0,,25 (25),1,1,1,HMDB0060376,24 (44),0.177,1,0.483,0.736
EGFR downregulation,Reactome,1,EGFR,30 (30),0.177,1,0,,5 (6),1,1,0.484,0.736
Pentose phosphate pathway - Homo sapiens (human),KEGG,1,RGN,30 (30),0.177,1,0,,25 (35),1,1,0.484,0.736
Trafficking of AMPA receptors,Reactome,1,EPB41L1,30 (30),0.177,1,0,,5 (6),1,1,0.484,0.736
Glutamate binding_ activation of AMPA receptors and synaptic plasticity,Reactome,1,EPB41L1,30 (30),0.177,1,0,,7 (8),1,1,0.484,0.736
Glyoxylate and dicarboxylate metabolism - Homo sapiens (human),KEGG,1,ACSS2,30 (30),0.177,1,0,,46 (62),1,1,0.484,0.736
Glycine_ serine_ alanine and threonine metabolism,EHMN,1,LDHD,78 (78),0.398,1,1,HMDB0000128,73 (88),0.45,1,0.488,0.741
Ethanol effects on histone modifications,Wikipathways,1,ACSS2,31 (31),0.183,1,0,,16 (21),1,1,0.493,0.746
Statin inhibition of cholesterol production,Wikipathways,1,APOA2,31 (31),0.183,1,0,,8 (17),1,1,0.493,0.746
Galactose metabolism - Homo sapiens (human),KEGG,1,GCK,31 (31),0.183,1,0,,30 (46),1,1,0.493,0.746
Metabolism of steroid hormones,Reactome,1,FDX1,31 (31),0.183,1,0,,33 (35),1,1,0.493,0.746
Glycerophospholipid metabolism - Homo sapiens (human),KEGG,0,,98 (98),1,1,1,HMDB0010404,25 (55),0.184,1,0.495,0.747
Valine Leucine Isoleucine degradation,INOH,1,ALDH7A1,32 (32),0.188,1,0,,36 (40),1,1,0.502,0.753
Interconversion of nucleotide di- and triphosphates,Reactome,1,CTPS1,32 (32),0.188,1,0,,44 (52),1,1,0.502,0.753
Osteopontin-mediated events,PID,1,GSN,32 (32),0.188,1,0,,4 (4),1,1,0.502,0.753
Citrate cycle,INOH,1,PKLR,32 (32),0.188,1,0,,35 (35),1,1,0.502,0.753
Glyoxylate metabolism and glycine degradation,Reactome,1,GNMT,32 (32),0.188,1,0,,32 (42),1,1,0.502,0.753
Caspase-mediated cleavage of cytoskeletal proteins,Reactome,1,GSN,12 (12),0.075,0.755,0,,0 (0),1,1,0.075,0.755
Platelet activation - Homo sapiens (human),KEGG,2,PPP1R12A;MYLK,124 (124),0.192,1,0,,14 (14),1,1,0.508,0.757
Mammary gland development pathway - Pregnancy and lactation (Stage 3 of 4),Wikipathways,1,EGFR,33 (33),0.193,1,0,,2 (3),1,1,0.511,0.757
Keratan sulfate/keratin metabolism,Reactome,1,HEXA,33 (33),0.193,1,0,,12 (19),1,1,0.511,0.757
Tyrosine metabolism,INOH,1,COMT,33 (33),0.193,1,0,,43 (44),1,1,0.511,0.757
EPO signaling pathway,PID,1,INPP5D,33 (33),0.193,1,0,,3 (3),1,1,0.511,0.757
Fructose and mannose metabolism - Homo sapiens (human),KEGG,1,KHK,33 (33),0.193,1,0,,31 (54),1,1,0.511,0.757
bioactive peptide induced signaling pathway,BioCarta,1,MYLK,33 (33),0.193,1,0,,3 (3),1,1,0.511,0.757
role of egf receptor transactivation by gpcrs in cardiac hypertrophy,BioCarta,1,EGFR,33 (33),0.193,1,0,,3 (3),1,1,0.511,0.757
Sialic acid metabolism,Reactome,1,NPL,33 (33),0.193,1,0,,18 (27),1,1,0.511,0.757
Regulation of MECP2 expression and activity,Reactome,1,LBR,34 (34),0.198,1,0,,3 (3),1,1,0.519,0.769
Apoptosis,Reactome,2,SEPTIN4;GSN,127 (127),0.199,1,0,,5 (8),1,1,0.52,0.769
Purine metabolism - Homo sapiens (human),KEGG,2,PKLR;URAD,129 (130),0.203,1,0,,78 (95),1,1,0.527,0.772
Vesicle-mediated transport,Reactome,2,EGFR;RAB32,617 (617),0.914,1,1,HMDB0010404,31 (66),0.223,1,0.527,0.772
Nuclear Receptors in Lipid Metabolism and Toxicity,Wikipathways,1,CYP8B1,35 (35),0.204,1,0,,6 (12),1,1,0.528,0.772
Vitamin D-sensitive calcium signaling in depression,Wikipathways,1,CYP27A1,35 (35),0.204,1,0,,13 (15),1,1,0.528,0.772
Nicotinate and nicotinamide metabolism - Homo sapiens (human),KEGG,1,AOX1,35 (35),0.204,1,0,,32 (55),1,1,0.528,0.772
Detoxification of Reactive Oxygen Species,Reactome,1,GPX7,35 (35),0.204,1,0,,20 (24),1,1,0.528,0.772
Arf6 signaling events,PID,1,EGFR,35 (35),0.204,1,0,,4 (4),1,1,0.528,0.772
angiotensin ii mediated activation of jnk pathway via pyk2 dependent signaling,BioCarta,1,EGFR,35 (35),0.204,1,0,,3 (3),1,1,0.528,0.772
N-cadherin signaling events,PID,1,GSN,36 (36),0.209,1,0,,5 (5),1,1,0.536,0.779
Trk receptor signaling mediated by PI3K and PLC-gamma,PID,1,EPB41L1,36 (36),0.209,1,0,,3 (3),1,1,0.536,0.779
African trypanosomiasis - Homo sapiens (human),KEGG,1,IDO2,36 (37),0.209,1,0,,8 (8),1,1,0.536,0.779
Citalopram Action Pathway,SMPDB,1,AOX1,36 (36),0.209,1,0,,26 (27),1,1,0.536,0.779
Nicotine Action Pathway,SMPDB,1,AOX1,36 (36),0.209,1,0,,29 (31),1,1,0.536,0.779
Vascular smooth muscle contraction - Homo sapiens (human),KEGG,2,PPP1R12A;MYLK,133 (133),0.213,1,0,,15 (16),1,1,0.542,0.786
GMCSF-mediated signaling events,PID,1,INPP5D,37 (37),0.214,1,0,,2 (2),1,1,0.544,0.786
trefoil factors initiate mucosal healing,BioCarta,1,EGFR,37 (37),0.214,1,0,,2 (2),1,1,0.544,0.786
RHOH GTPase cycle,Reactome,1,NIPSNAP2,37 (37),0.214,1,0,,1 (1),1,1,0.544,0.786
Glutaminolysis and Cancer,SMPDB,1,ME1,37 (37),0.214,1,0,,42 (44),1,1,0.544,0.786
B cell receptor signaling,INOH,2,PSMB10;IGHM,134 (134),0.215,1,0,,6 (7),1,1,0.546,0.788
Transmission across Chemical Synapses,Reactome,3,COMT;ABAT;EPB41L1,249 (249),0.219,1,0,,69 (78),1,1,0.551,0.794
Signaling events mediated by TCPTP,PID,1,EGFR,38 (38),0.219,1,0,,1 (1),1,1,0.552,0.794
sphingomyelin metabolism/ceramide salvage,HumanCyc,0,,8 (8),1,1,1,HMDB0002183,31 (55),0.223,1,0.557,0.797
superpathway of pyrimidine deoxyribonucleoside salvage,HumanCyc,0,,17 (17),1,1,1,HMDB0000273,31 (31),0.223,1,0.557,0.797
triacylglycerol degradation,HumanCyc,0,,15 (15),1,1,1,HMDB0002183,31 (54),0.223,1,0.557,0.797
pyrimidine deoxyribonucleosides salvage,HumanCyc,0,,5 (5),1,1,1,HMDB0000273,31 (31),0.223,1,0.557,0.797
phospholipases,HumanCyc,0,,41 (41),1,1,1,HMDB0002183,31 (55),0.223,1,0.557,0.797
Internalization of ErbB1,PID,1,EGFR,39 (39),0.224,1,0,,2 (2),1,1,0.559,0.798
Smooth Muscle Contraction,Reactome,1,MYLK,39 (39),0.224,1,0,,9 (9),1,1,0.559,0.798
Omega-3-Omega-6 FA synthesis,Wikipathways,1,ACSL1,14 (14),0.087,0.802,0,,0 (1),1,1,0.087,0.802
Fluid shear stress and atherosclerosis - Homo sapiens (human),KEGG,2,GSTM3;GSTM4,139 (139),0.227,1,0,,8 (8),1,1,0.564,0.804
Digestion,Reactome,0,,22 (22),1,1,1,HMDB0000036,32 (42),0.229,1,0.567,0.805
Ferroptosis,Wikipathways,1,ACSL1,40 (40),0.229,1,0,,19 (29),1,1,0.567,0.805
Interleukin-2 family signaling,Reactome,1,INPP5D,40 (40),0.229,1,0,,2 (2),1,1,0.567,0.805
Glycerophospholipid metabolism,EHMN,1,ALDH7A1,136 (136),0.589,1,1,HMDB0010404,62 (95),0.398,1,0.574,0.812
Aurora B signaling,PID,1,MYLK,41 (41),0.234,1,0,,2 (2),1,1,0.574,0.812
Ferroptosis - Homo sapiens (human),KEGG,1,ACSL1,41 (41),0.234,1,0,,21 (31),1,1,0.574,0.812
Metabolic reprogramming in colon cancer,Wikipathways,1,FASN,42 (42),0.239,1,0,,29 (35),1,1,0.581,0.819
Porphyrin and chlorophyll metabolism - Homo sapiens (human),KEGG,1,UGT2A3,42 (42),0.239,1,0,,41 (143),1,1,0.581,0.819
Stabilization and expansion of the E-cadherin adherens junction,PID,1,EGFR,42 (42),0.239,1,0,,3 (3),1,1,0.581,0.819
Fc Epsilon Receptor I Signaling in Mast Cells,SMPDB,1,INPP5D,42 (42),0.239,1,0,,13 (13),1,1,0.581,0.819
Class C/3 (Metabotropic glutamate/pheromone receptors),Reactome,0,,40 (40),1,1,1,HMDB0034927,34 (54),0.242,1,0.585,0.822
p73 transcription factor network,PID,2,FASN;PEA15,79 (79),0.0928,0.827,0,,0 (0),1,1,0.0928,0.827
ErbB receptor signaling network,PID,1,EGFR,15 (15),0.0929,0.827,0,,0 (0),1,1,0.0929,0.827
Metabolism of RNA,Reactome,0,,583 (584),1,1,1,HMDB0001107,35 (77),0.248,1,0.593,0.83
the visual cycle I (vertebrates),HumanCyc,0,,16 (16),1,1,1,HMDB0002183,35 (58),0.248,1,0.593,0.83
Galactose metabolism,EHMN,1,SLC2A2,44 (44),0.249,1,0,,43 (47),1,1,0.595,0.83
Signaling by NOTCH3,Reactome,1,EGFR,44 (44),0.249,1,0,,3 (3),1,1,0.595,0.83
Interleukin-3_ Interleukin-5 and GM-CSF signaling,Reactome,1,INPP5D,44 (44),0.249,1,0,,2 (3),1,1,0.595,0.83
PLK1 signaling events,PID,1,PPP1R12A,44 (44),0.249,1,0,,1 (1),1,1,0.595,0.83
Urokinase-type plasminogen activator (uPA) and uPAR-mediated signaling,PID,1,EGFR,44 (44),0.249,1,0,,2 (2),1,1,0.595,0.83
Phospholipid metabolism,Reactome,1,INPP5D,213 (213),0.752,1,1,HMDB0010404,50 (104),0.335,1,0.599,0.834
Class I PI3K signaling events,PID,1,INPP5D,45 (45),0.254,1,0,,4 (4),1,1,0.602,0.834
Integrin-linked kinase signaling,PID,1,PPP1R12A,45 (45),0.254,1,0,,3 (3),1,1,0.602,0.834
RhoA signaling pathway,PID,1,PPP1R12A,45 (45),0.254,1,0,,1 (1),1,1,0.602,0.834
Retinoid metabolism and transport,Reactome,1,APOA2,45 (45),0.254,1,0,,24 (37),1,1,0.602,0.834
ATM Signaling Network in Development and Disease,Wikipathways,1,LBR,46 (46),0.259,1,0,,1 (1),1,1,0.609,0.841
Signaling by MET,Reactome,1,HPN,46 (46),0.259,1,0,,7 (9),1,1,0.609,0.841
Insulin Pathway,PID,1,INPP5D,46 (46),0.259,1,0,,5 (5),1,1,0.609,0.841
sphingosine and sphingosine-1-phosphate metabolism,HumanCyc,0,,9 (9),1,1,1,HMDB0002183,37 (59),0.26,1,0.61,0.842
Carbohydrate digestion and absorption - Homo sapiens (human),KEGG,1,SLC2A2,47 (47),0.264,1,0,,19 (27),1,1,0.615,0.842
agrin in postsynaptic differentiation,BioCarta,1,EGFR,47 (47),0.264,1,0,,2 (2),1,1,0.615,0.842
Mercaptopurine Action Pathway,SMPDB,1,AOX1,47 (47),0.264,1,0,,78 (84),1,1,0.615,0.842
Azathioprine Action Pathway,SMPDB,1,AOX1,47 (47),0.264,1,0,,80 (86),1,1,0.615,0.842
NR1H2 and NR1H3-mediated signaling,Reactome,1,FASN,47 (47),0.264,1,0,,3 (4),1,1,0.615,0.842
Thioguanine Action Pathway,SMPDB,1,AOX1,47 (47),0.264,1,0,,79 (85),1,1,0.615,0.842
GPCR ligand binding,Reactome,0,,476 (476),1,1,2,HMDB0034927;HMDB0002183,125 (168),0.266,1,0.619,0.846
Signaling by EGFR,Reactome,1,EGFR,48 (48),0.268,1,0,,8 (9),1,1,0.621,0.849
Phosphatidylinositol phosphate metabolism,EHMN,0,,93 (93),1,1,1,HMDB0011668,39 (48),0.272,1,0.626,0.853
Biosynthesis of unsaturated fatty acids - Homo sapiens (human),KEGG,0,,27 (27),1,1,1,HMDB0002183,39 (74),0.272,1,0.626,0.853
Xenobiotics,Reactome,0,,21 (21),1,1,1,HMDB0001860,39 (51),0.272,1,0.626,0.853
Metabolism of fat-soluble vitamins,Reactome,1,APOA2,49 (49),0.273,1,0,,31 (49),1,1,0.628,0.853
Asparagine N-linked glycosylation,Reactome,3,NPL;GFPT1;AMDHD2,283 (283),0.278,1,0,,65 (121),1,1,0.633,0.858
Signaling by ERBB2,Reactome,1,EGFR,50 (50),0.278,1,0,,11 (15),1,1,0.634,0.858
Chondroitin sulfate/dermatan sulfate metabolism,Reactome,1,HEXA,50 (50),0.278,1,0,,12 (24),1,1,0.634,0.858
Neurotransmitter release cycle,Reactome,1,ABAT,50 (50),0.278,1,0,,41 (45),1,1,0.634,0.858
TFAP2 (AP-2) family regulates transcription of growth factors and their receptors,Reactome,1,EGFR,16 (16),0.0988,0.86,0,,0 (0),1,1,0.0988,0.86
G alpha (q) signalling events,Reactome,1,EGFR,221 (221),0.765,1,1,HMDB0002183,56 (64),0.367,1,0.637,0.862
The citric acid (TCA) cycle and respiratory electron transport,Reactome,2,ATP5MC2;ME1,162 (162),0.282,1,0,,46 (59),1,1,0.64,0.862
Inositol phosphate metabolism,Reactome,1,INPP5D,51 (51),0.282,1,0,,31 (44),1,1,0.64,0.862
RHOD GTPase cycle,Reactome,1,LBR,51 (51),0.282,1,0,,4 (4),1,1,0.64,0.862
Intrinsic Pathway for Apoptosis,Reactome,1,SEPTIN4,52 (52),0.287,1,0,,4 (5),1,1,0.645,0.866
Signaling events mediated by PTP1B,PID,1,EGFR,52 (52),0.287,1,0,,1 (1),1,1,0.645,0.866
Apoptotic execution phase,Reactome,1,GSN,52 (52),0.287,1,0,,2 (5),1,1,0.645,0.866
Downstream TCR signaling,Reactome,1,INPP5D,52 (52),0.287,1,0,,6 (9),1,1,0.645,0.866
Sensory processing of sound by inner hair cells of the cochlea,Reactome,1,EPB41L1,53 (53),0.292,1,0,,5 (6),1,1,0.651,0.868
Posttranslational regulation of adherens junction stability and dissassembly,PID,1,EGFR,53 (53),0.292,1,0,,3 (3),1,1,0.651,0.868
Synthesis of PIPs at the plasma membrane,Reactome,1,INPP5D,53 (53),0.292,1,0,,9 (17),1,1,0.651,0.868
keratinocyte differentiation,BioCarta,1,EGFR,53 (53),0.292,1,0,,3 (3),1,1,0.651,0.868
Pyruvate metabolism and Citric Acid (TCA) cycle,Reactome,1,ME1,53 (53),0.292,1,0,,38 (44),1,1,0.651,0.868
cGMP-PKG signaling pathway - Homo sapiens (human),KEGG,2,PPP1R12A;MYLK,167 (167),0.294,1,0,,10 (10),1,1,0.654,0.872
Signaling by PTK6,Reactome,1,EGFR,54 (54),0.296,1,0,,10 (10),1,1,0.657,0.873
Signaling by Non-Receptor Tyrosine Kinases,Reactome,1,EGFR,54 (54),0.296,1,0,,10 (10),1,1,0.657,0.873
Nucleotide salvage,Reactome,0,,23 (23),1,1,1,HMDB0000273,44 (45),0.301,1,0.663,0.879
Thromboxane A2 receptor signaling,PID,1,EGFR,56 (56),0.306,1,0,,12 (12),1,1,0.668,0.884
RHOJ GTPase cycle,Reactome,1,NIPSNAP2,56 (56),0.306,1,0,,4 (4),1,1,0.668,0.884
Proximal tubule transport,Wikipathways,1,SLC2A2,57 (57),0.31,1,0,,16 (28),1,1,0.673,0.889
Caspase Cascade in Apoptosis,PID,1,GSN,57 (57),0.31,1,0,,1 (2),1,1,0.673,0.889
Signaling by ERBB4,Reactome,1,EGFR,58 (58),0.315,1,0,,7 (9),1,1,0.678,0.894
Endometrial cancer - Homo sapiens (human),KEGG,1,EGFR,58 (58),0.315,1,0,,1 (1),1,1,0.678,0.894
Glycerophospholipid biosynthesis,Reactome,0,,130 (130),1,1,1,HMDB0010404,47 (94),0.318,1,0.683,0.899
SHP2 signaling,PID,1,EGFR,59 (59),0.319,1,0,,6 (6),1,1,0.683,0.899
Lysine metabolism,EHMN,1,ALDH7A1,60 (60),0.323,1,0,,42 (53),1,1,0.688,0.904
Oxidative phosphorylation,Wikipathways,1,ATP5MC2,61 (61),0.328,1,0,,5 (5),1,1,0.693,0.907
Arachidonic acid metabolism - Homo sapiens (human),KEGG,1,GPX7,61 (61),0.328,1,0,,66 (75),1,1,0.693,0.907
Coregulation of Androgen receptor activity,PID,1,GSN,61 (61),0.328,1,0,,2 (2),1,1,0.693,0.907
Glycerolipid metabolism - Homo sapiens (human),KEGG,1,ALDH7A1,61 (61),0.328,1,0,,13 (38),1,1,0.693,0.907
FOXO-mediated transcription,Reactome,1,GCK,62 (62),0.332,1,0,,10 (12),1,1,0.698,0.907
TLR JNK,INOH,1,PSMB10,62 (62),0.332,1,0,,1 (1),1,1,0.698,0.907
Fc-epsilon receptor I signaling in mast cells,PID,1,INPP5D,62 (62),0.332,1,0,,6 (8),1,1,0.698,0.907
Endometrial cancer,Wikipathways,1,EGFR,63 (63),0.337,1,0,,1 (4),1,1,0.703,0.907
Lysine degradation - Homo sapiens (human),KEGG,1,ALDH7A1,63 (63),0.337,1,0,,40 (50),1,1,0.703,0.907
TLR p38,INOH,1,PSMB10,63 (63),0.337,1,0,,1 (1),1,1,0.703,0.907
LPA receptor mediated events,PID,1,EGFR,63 (63),0.337,1,0,,5 (5),1,1,0.703,0.907
Integrins in angiogenesis,PID,1,COL5A2,63 (63),0.337,1,0,,2 (2),1,1,0.703,0.907
Vitamin B12 metabolism,Wikipathways,0,,51 (51),1,1,1,HMDB0001904,51 (61),0.34,1,0.707,0.907
Transcriptional Regulation by MECP2,Reactome,1,LBR,64 (64),0.341,1,0,,3 (4),1,1,0.708,0.907
Proteasome Degradation,Wikipathways,1,PSMB10,64 (64),0.341,1,0,,1 (1),1,1,0.708,0.907
RAB geranylgeranylation,Reactome,1,RAB32,65 (65),0.345,1,0,,3 (3),1,1,0.712,0.907
Mitochondrial protein import,Reactome,1,LDHD,65 (65),0.345,1,0,,4 (4),1,1,0.712,0.907
Hyperprolinemia Type II,SMPDB,0,,20 (20),1,1,1,HMDB0000128,52 (52),0.346,1,0.713,0.907
Ornithine Aminotransferase Deficiency (OAT Deficiency),SMPDB,0,,20 (20),1,1,1,HMDB0000128,52 (52),0.346,1,0.713,0.907
Creatine deficiency_ guanidinoacetate methyltransferase deficiency,SMPDB,0,,20 (20),1,1,1,HMDB0000128,52 (52),0.346,1,0.713,0.907
Prolidase Deficiency (PD),SMPDB,0,,20 (20),1,1,1,HMDB0000128,52 (52),0.346,1,0.713,0.907
Arginine and Proline Metabolism,SMPDB,0,,20 (20),1,1,1,HMDB0000128,52 (52),0.346,1,0.713,0.907
Arginine: Glycine Amidinotransferase Deficiency (AGAT Deficiency),SMPDB,0,,20 (20),1,1,1,HMDB0000128,52 (52),0.346,1,0.713,0.907
Hyperornithinemia with gyrate atrophy (HOGA),SMPDB,0,,20 (20),1,1,1,HMDB0000128,52 (52),0.346,1,0.713,0.907
L-arginine:glycine amidinotransferase deficiency,SMPDB,0,,20 (20),1,1,1,HMDB0000128,52 (52),0.346,1,0.713,0.907
Hyperornithinemia-hyperammonemia-homocitrullinuria [HHH-syndrome],SMPDB,0,,20 (20),1,1,1,HMDB0000128,52 (52),0.346,1,0.713,0.907
Guanidinoacetate Methyltransferase Deficiency (GAMT Deficiency),SMPDB,0,,20 (20),1,1,1,HMDB0000128,52 (52),0.346,1,0.713,0.907
Prolinemia Type II,SMPDB,0,,20 (20),1,1,1,HMDB0000128,52 (52),0.346,1,0.713,0.907
Hyperprolinemia Type I,SMPDB,0,,20 (20),1,1,1,HMDB0000128,52 (52),0.346,1,0.713,0.907
Signaling by NOTCH,Reactome,2,EGFR;POFUT1,189 (190),0.347,1,0,,12 (13),1,1,0.714,0.907
Collagen biosynthesis and modifying enzymes,Reactome,1,COL5A2,67 (67),0.354,1,0,,8 (10),1,1,0.721,0.912
TCR signaling in na&#xef;ve CD4+ T cells,PID,1,INPP5D,67 (67),0.354,1,0,,4 (4),1,1,0.721,0.912
Fc epsilon RI signaling pathway - Homo sapiens (human),KEGG,1,INPP5D,67 (68),0.354,1,0,,11 (11),1,1,0.721,0.912
Regulation of insulin secretion,Reactome,1,SLC2A2,67 (67),0.354,1,0,,22 (26),1,1,0.721,0.912
RAC1-PAK1-p38-MMP2 Pathway,Wikipathways,1,EGFR,68 (68),0.358,1,0,,1 (1),1,1,0.726,0.914
BCR signaling pathway,PID,1,INPP5D,68 (68),0.358,1,0,,4 (4),1,1,0.726,0.914
AMP-activated protein kinase (AMPK) signaling,Wikipathways,1,FASN,68 (68),0.358,1,0,,7 (7),1,1,0.726,0.914
Sterol regulatory element-binding proteins (SREBP) signaling,Wikipathways,1,FASN,68 (68),0.358,1,0,,3 (5),1,1,0.726,0.914
TLR NFkB,INOH,1,PSMB10,69 (69),0.362,1,0,,1 (1),1,1,0.73,0.917
Adipocytokine signaling pathway - Homo sapiens (human),KEGG,1,ACSL1,69 (69),0.362,1,0,,3 (7),1,1,0.73,0.917
superpathway of inositol phosphate compounds,HumanCyc,1,INPP5D,70 (70),0.366,1,0,,18 (26),1,1,0.734,0.919
CD22 mediated BCR regulation,Reactome,1,IGHM,70 (70),0.366,1,0,,2 (3),1,1,0.734,0.919
Epithelial cell signaling in Helicobacter pylori infection - Homo sapiens (human),KEGG,1,EGFR,70 (70),0.366,1,0,,5 (7),1,1,0.734,0.919
Folate Metabolism,Wikipathways,0,,69 (69),1,1,1,HMDB0001904,56 (66),0.367,1,0.735,0.919
Parkinson_s disease pathway,Wikipathways,1,SEPTIN5,71 (71),0.37,1,0,,3 (4),1,1,0.738,0.919
Non-small cell lung cancer,Wikipathways,1,EGFR,72 (72),0.374,1,0,,5 (7),1,1,0.742,0.919
Non-small cell lung cancer - Homo sapiens (human),KEGG,1,EGFR,72 (72),0.374,1,0,,6 (6),1,1,0.742,0.919
Melanoma - Homo sapiens (human),KEGG,1,EGFR,72 (72),0.374,1,0,,1 (1),1,1,0.742,0.919
Extra-nuclear estrogen signaling,Reactome,1,EGFR,73 (73),0.378,1,0,,22 (24),1,1,0.746,0.919
Inositol phosphate metabolism - Homo sapiens (human),KEGG,1,INPP5D,73 (73),0.378,1,0,,25 (47),1,1,0.746,0.919
TCR signaling,Reactome,1,INPP5D,73 (73),0.378,1,0,,7 (10),1,1,0.746,0.919
Diabetic cardiomyopathy - Homo sapiens (human),KEGG,2,GFPT1;ATP5MC2,203 (203),0.38,1,0,,26 (39),1,1,0.747,0.919
Head and Neck Squamous Cell Carcinoma,Wikipathways,1,EGFR,74 (74),0.383,1,0,,2 (4),1,1,0.75,0.919
RHOC GTPase cycle,Reactome,1,LBR,74 (74),0.383,1,0,,4 (4),1,1,0.75,0.919
RHOG GTPase cycle,Reactome,1,LBR,74 (74),0.383,1,0,,4 (4),1,1,0.75,0.919
Proteoglycans in cancer - Homo sapiens (human),KEGG,2,PPP1R12A;EGFR,205 (205),0.384,1,0,,5 (7),1,1,0.752,0.919
Glioma - Homo sapiens (human),KEGG,1,EGFR,75 (75),0.387,1,0,,4 (4),1,1,0.754,0.919
Thyroid hormone synthesis - Homo sapiens (human),KEGG,1,GPX7,75 (75),0.387,1,0,,20 (21),1,1,0.754,0.919
Gastric acid secretion - Homo sapiens (human),KEGG,1,MYLK,76 (76),0.391,1,0,,13 (14),1,1,0.758,0.919
Pancreatic cancer - Homo sapiens (human),KEGG,1,EGFR,76 (76),0.391,1,0,,2 (2),1,1,0.758,0.919
Nuclear Envelope (NE) Reassembly,Reactome,1,LBR,78 (78),0.398,1,0,,9 (12),1,1,0.765,0.919
Constitutive Signaling by Aberrant PI3K in Cancer,Reactome,1,EGFR,79 (79),0.402,1,0,,5 (18),1,1,0.769,0.919
B cell receptor signaling pathway - Homo sapiens (human),KEGG,1,INPP5D,80 (82),0.406,1,0,,4 (4),1,1,0.772,0.919
Potential therapeutics for SARS,Reactome,1,COMT,80 (80),0.406,1,0,,1 (2),1,1,0.772,0.919
Cell surface interactions at the vascular wall,Reactome,2,INPP5D;IGHM,215 (215),0.407,1,0,,9 (13),1,1,0.773,0.919
Signaling events mediated by Hepatocyte Growth Factor Receptor (c-Met),PID,1,INPP5D,81 (81),0.41,1,0,,4 (4),1,1,0.776,0.919
Rofecoxib Action Pathway,SMPDB,0,,30 (30),1,1,1,HMDB0010404,66 (72),0.417,1,0.782,0.919
Lumiracoxib Action Pathway,SMPDB,0,,30 (30),1,1,1,HMDB0010404,66 (72),0.417,1,0.782,0.919
Salicylate-sodium Action Pathway,SMPDB,0,,30 (30),1,1,1,HMDB0010404,66 (72),0.417,1,0.782,0.919
Valdecoxib Action Pathway,SMPDB,0,,30 (30),1,1,1,HMDB0010404,66 (72),0.417,1,0.782,0.919
Nabumetone Action Pathway,SMPDB,0,,30 (30),1,1,1,HMDB0010404,66 (72),0.417,1,0.782,0.919
Bromfenac Action Pathway,SMPDB,0,,30 (30),1,1,1,HMDB0010404,66 (72),0.417,1,0.782,0.919
Arachidonic Acid Metabolism,SMPDB,0,,30 (30),1,1,1,HMDB0010404,66 (71),0.417,1,0.782,0.919
Leukotriene C4 Synthesis Deficiency,SMPDB,0,,30 (30),1,1,1,HMDB0010404,66 (71),0.417,1,0.782,0.919
Flurbiprofen Action Pathway,SMPDB,0,,30 (30),1,1,1,HMDB0010404,66 (72),0.417,1,0.782,0.919
Trisalicylate-choline Action Pathway,SMPDB,0,,30 (30),1,1,1,HMDB0010404,66 (71),0.417,1,0.782,0.919
Nepafenac Action Pathway,SMPDB,0,,30 (30),1,1,1,HMDB0010404,66 (72),0.417,1,0.782,0.919
Salsalate Action Pathway,SMPDB,0,,30 (30),1,1,1,HMDB0010404,66 (72),0.417,1,0.782,0.919
Tiaprofenic Acid Action Pathway,SMPDB,0,,30 (30),1,1,1,HMDB0010404,66 (72),0.417,1,0.782,0.919
Glioblastoma signaling pathways,Wikipathways,1,EGFR,83 (83),0.418,1,0,,1 (3),1,1,0.782,0.919
EGFR Tyrosine Kinase Inhibitor Resistance,Wikipathways,1,EGFR,84 (84),0.422,1,0,,3 (5),1,1,0.786,0.919
PI Metabolism,Reactome,1,INPP5D,84 (84),0.422,1,0,,15 (29),1,1,0.786,0.919
Phenylbutazone Action Pathway,SMPDB,0,,30 (30),1,1,1,HMDB0010404,67 (72),0.422,1,0.786,0.919
Piroxicam Action Pathway,SMPDB,0,,30 (30),1,1,1,HMDB0010404,67 (72),0.422,1,0.786,0.919
